name,titles,image,link
Delin Chen,PhD student;University of Hong Kong,/members/delin_chen.jpg,https://chendl02.github.io
Junhao Chen,Incoming PhD student;University of Hong Kong,/members/junhao_chen.png,https://junhaoo-chen.github.io/
Xintong Hu,Incoming PhD student;University of Hong Kong,/members/xintong_hu.png,https://ericsxt.github.io/
Xuhong Huang,Incoming PhD student;University of Hong Kong,/members/xuhong_huang.png,https://csgeekhuang.github.io/
Zhewei Kang,Incoming PhD student;University of Hong Kong,/members/zhewei_kang.jpg,
Yitao Liu,PhD student;University of Hong Kong,/members/yitao_liu.jpg,https://yitaoliu17.com/
Dunjie Lu,PhD student;University of Hong Kong,/members/dunjie_lu.png,https://ludunjie1219.github.io/
Hongjin Su,PhD student;University of Hong Kong,/members/hongjin_su.jpeg,https://hongjin-su.github.io/
Bowen Wang,PhD student;University of Hong Kong,/members/bowen_wang.jpg,https://bowenbryanwang.github.io/
Haoyuan Wu,Incoming PhD student;University of Hong Kong,/members/haoyuan_wu_ghibli.png,https://haoyuanwu.com/
Tianbao Xie,PhD student;University of Hong Kong,/members/tianbao_xie_20250825_downsampled.jpg,https://tianbaoxie.com/
Yiheng Xu,PhD student;University of Hong Kong,/members/yiheng_xu.jpeg,https://yihengxu.com/
Mengqi Yuan,PhD student;University of Hong Kong,/members/mengqi_yuan.jpg,https://yuanmengqi.github.io
Yingming Zheng,Incoming PhD student;University of Hong Kong,/members/yingming_zheng.jpg,https://8zym.github.io/
Zilong Zhou,Incoming PhD student;University of Hong Kong,/members/zilong_zhou.jpg,
