name,titles,image,link
Junhao Chen,Research Assistant;Tsinghua University,/members/junhao_chen.png,https://junhaoo-chen.github.io/
Jiaqi Deng,Research Assistant;University of Hong Kong,/members/jiaqi_deng.png,https://millank0817.github.io/
Zicheng Gong,Research Assistant;University of Hong Kong,/members/zicheng_gong.png,
Xintong Hu,Research Assistant;Zhejiang University,/members/xintong_hu.png,https://scholar.google.com/citations?user=1yZoMlcAAAAJ
Xuhong Huang,Research Assistant;Nanjing University,/members/xuhong_huang.png,https://csgeekhuang.github.io/
Lakindu Jayawardana,Research Assistant;University of Hong Kong,/members/lakindu.jpeg,
Junhao Li,Research Assistant;Tsinghua University,/members/junhao_li.jpg,
Martin Shin,Research Assistant;University of Hong Kong,/members/martin_shin.jpg,
Haoyuan Wu,Research Assistant;University of Hong Kong,/members/haoyuan_wu_ghibli.png,
Xinzhuang Xiong,Research Assistant;University of Hong Kong,,
Yingming Zheng,Research Assistant;Shanghai Jiao Tong University,/members/yingming_zheng.jpg,https://scholar.google.com/citations?user=uy3Yh-IAAAAJ
Zilong Zhou,Research Assistant;University of Hong Kong,/members/zilong_zhou.jpg,
